2026-06-19 02:05:16,279 | INFO | [MODIFIED] honeypot_files/Passwords.txt
[ALERT] Suspicious Process: nmap PID=7438
[ALERT] Suspicious Process: nmap PID=7518
[ALERT] Suspicious Process: nmap PID=7610
[ALERT] Suspicious Process: nmap PID=7702
[ALERT] Suspicious Process: nmap PID=10018
[ALERT] NMAP DETECTED | PID=21232 | Threat Score=20
[ALERT] NMAP DETECTED | PID=21244 | Threat Score=40
[ALERT] NMAP DETECTED | PID=21256 | Threat Score=60
[ALERT] NMAP DETECTED | PID=21276 | Threat Score=80
[ALERT] NMAP DETECTED | PID=21288 | Threat Score=100
[ALERT] NMAP DETECTED | PID=21300 | Threat Score=120
[ALERT] NMAP DETECTED | PID=21312 | Threat Score=140
[ALERT] NMAP DETECTED | PID=21324 | Threat Score=160
[ALERT] NMAP DETECTED | PID=21336 | Threat Score=180
[ALERT] NMAP DETECTED | PID=21356 | Threat Score=200
[ALERT] NMAP DETECTED | PID=21380 | Threat Score=220
[ALERT] NMAP DETECTED | PID=21421 | Threat Score=240
[ALERT] NMAP DETECTED | PID=21488 | Threat Score=260
[ALERT] NMAP DETECTED | PID=21555 | Threat Score=280
[ALERT] NMAP DETECTED | PID=21648 | Threat Score=300
[ALERT] NMAP DETECTED | PID=21681 | Threat Score=320
[ALERT] NMAP DETECTED | PID=21711 | Threat Score=340
[ALERT] NMAP DETECTED | PID=21774 | Threat Score=360
[ALERT] NMAP DETECTED | PID=21818 | Threat Score=380
[ALERT] NMAP DETECTED | PID=21839 | Threat Score=400
[ALERT] NMAP DETECTED | PID=21904 | Threat Score=420
[ALERT] NMAP DETECTED | PID=21932 | Threat Score=440
[ALERT] NMAP DETECTED | PID=21956 | Threat Score=460
[ALERT] NMAP DETECTED | PID=21978 | Threat Score=480
[ALERT] NMAP DETECTED | PID=22007 | Threat Score=500
[ALERT] NMAP DETECTED | PID=22086 | Threat Score=520
[ALERT] NMAP DETECTED | PID=22120 | Threat Score=540
[ALERT] NMAP DETECTED | PID=22142 | Threat Score=560
[ALERT] NMAP DETECTED | PID=22169 | Threat Score=580
[ALERT] NMAP DETECTED | PID=22198 | Threat Score=600
[ALERT] NMAP DETECTED | PID=22216 | Threat Score=620
[ALERT] NMAP DETECTED | PID=22229 | Threat Score=640
[ALERT] NMAP DETECTED | PID=22254 | Threat Score=660
[ALERT] NMAP DETECTED | PID=22266 | Threat Score=680
[ALERT] NMAP DETECTED | PID=22286 | Threat Score=700
[ALERT] NMAP DETECTED | PID=22298 | Threat Score=720
[ALERT] NMAP DETECTED | PID=22337 | Threat Score=740
[ALERT] NMAP DETECTED | PID=22449 | Threat Score=760
[ALERT] NMAP DETECTED | PID=22461 | Threat Score=780
[ALERT] NMAP DETECTED | PID=22485 | Threat Score=800
[ALERT] NMAP DETECTED | PID=22520 | Threat Score=820
[ALERT] NMAP DETECTED | PID=22532 | Threat Score=840
[ALERT] NMAP DETECTED | PID=22544 | Threat Score=860
[ALERT] NMAP DETECTED | PID=22556 | Threat Score=880
[ALERT] NMAP DETECTED | PID=22593 | Threat Score=900
[ALERT] NMAP DETECTED | PID=22605 | Threat Score=920
[ALERT] NMAP DETECTED | PID=22618 | Threat Score=940
[ALERT] NMAP DETECTED | PID=22637 | Threat Score=960
[ALERT] NMAP DETECTED | PID=22649 | Threat Score=980
[ALERT] NMAP DETECTED | PID=22661 | Threat Score=1000
[ALERT] NMAP DETECTED | PID=22673 | Threat Score=1020
[ALERT] NMAP DETECTED | PID=22686 | Threat Score=1040
[ALERT] NMAP DETECTED | PID=22698 | Threat Score=1060
[ALERT] NMAP DETECTED | PID=22724 | Threat Score=1080
[ALERT] NMAP DETECTED | PID=22736 | Threat Score=1100
[ALERT] NMAP DETECTED | PID=22748 | Threat Score=1120
[ALERT] NMAP DETECTED | PID=22760 | Threat Score=1140
[ALERT] NMAP DETECTED | PID=22773 | Threat Score=1160
[ALERT] NMAP DETECTED | PID=22793 | Threat Score=1180
[ALERT] NMAP DETECTED | PID=22805 | Threat Score=1200
[ALERT] NMAP DETECTED | PID=22817 | Threat Score=1220
[ALERT] NMAP DETECTED | PID=22829 | Threat Score=1240
[ALERT] NMAP DETECTED | PID=23533 | Threat Score=20
[ALERT] NMAP DETECTED | PID=23557 | Threat Score=40
[ALERT] NMAP DETECTED | PID=23577 | Threat Score=60
[ALERT] NMAP DETECTED | PID=23590 | Threat Score=80
[ALERT] NMAP DETECTED | PID=23602 | Threat Score=100
[ALERT] NMAP DETECTED | PID=23614 | Threat Score=120
[ALERT] NMAP DETECTED | PID=23626 | Threat Score=140
[ALERT] NMAP DETECTED | PID=23638 | Threat Score=160
[ALERT] NMAP DETECTED | PID=23651 | Threat Score=180
[ALERT] NMAP DETECTED | PID=23674 | Threat Score=200
[ALERT] NMAP DETECTED | PID=23686 | Threat Score=220
[ALERT] NMAP DETECTED | PID=23698 | Threat Score=240
[ALERT] NMAP DETECTED | PID=23710 | Threat Score=260
[ALERT] NMAP DETECTED | PID=23722 | Threat Score=280
[ALERT] NMAP DETECTED | PID=23734 | Threat Score=300
[ALERT] NMAP DETECTED | PID=23754 | Threat Score=320
[ALERT] NMAP DETECTED | PID=23766 | Threat Score=340
[ALERT] NMAP DETECTED | PID=23778 | Threat Score=360
[ALERT] NMAP DETECTED | PID=23790 | Threat Score=380
[ALERT] NMAP DETECTED | PID=23802 | Threat Score=400
[ALERT] NMAP DETECTED | PID=23822 | Threat Score=420
[ALERT] NMAP DETECTED | PID=23834 | Threat Score=440
[ALERT] NMAP DETECTED | PID=23846 | Threat Score=460
[ALERT] NMAP DETECTED | PID=23858 | Threat Score=480
